doy,lat,ndvi
112.0,-24.0,4447.448135843485
112.0,-23.0,4175.626362735382
112.0,-22.0,4191.206350493605
112.0,-21.0,4640.131993076026
112.0,-20.0,4959.6081695983685
112.0,-19.0,5343.987125853962
112.0,-18.0,5407.555337717457
112.0,-17.0,5727.617290083524
112.0,-16.0,5919.732720660369
112.0,-15.0,6511.282175033419
112.0,-14.0,6944.059720766941
112.0,-13.0,7328.328083212879
112.0,-12.0,7328.1422012197645
112.0,-11.0,7328.206257810359
112.0,-10.0,7327.704256995939
112.0,-9.0,7136.111483179892
112.0,-8.0,7135.7490382598635
112.0,-7.0,7007.356567066454
112.0,-6.0,7007.5047236056835
112.0,-5.0,7071.741458375426
112.0,-4.0,7454.739422285005
112.0,-3.0,8162.437532400208
112.0,-2.0,8225.404576540832
112.0,-1.0,8289.179770742687
112.0,0.0,8353.504364881572
112.0,1.0,8416.879799928493
112.0,2.0,8352.733928893971
112.0,3.0,8353.471760824896
112.0,4.0,7887.81060960604
112.0,5.0,7503.960987544728
112.0,6.0,6447.815461346633
112.0,7.0,5279.59104477612
112.0,8.0,4271.518837459634
112.0,9.0,3311.758406513023
112.0,10.0,2479.7331292549093
112.0,11.0,2039.703937048126
112.0,12.0,1767.6484897867786
112.0,13.0,1647.837814978988
112.0,14.0,1488.3815026746881
112.0,15.0,1231.735618710541
112.0,16.0,1103.2664076844433
112.0,17.0,1071.5253291702868
112.0,18.0,1007.6984737424143
112.0,19.0,1007.5392070425235
128.0,-28.0,3743.0868962081768
128.0,-27.0,3743.5206450774426
128.0,-26.0,3935.9027632950992
128.0,-25.0,4448.037577357144
128.0,-24.0,4063.5843181092305
128.0,-23.0,3742.459986916703
128.0,-22.0,3806.88252232647
128.0,-21.0,4128.450645708354
128.0,-20.0,4576.1164429964365
128.0,-19.0,4895.4642270308095
128.0,-18.0,4895.346427950552
128.0,-17.0,5216.0896731876755
128.0,-16.0,5472.290517118526
128.0,-15.0,5999.597290678241
128.0,-14.0,6431.644296463428
128.0,-13.0,6944.886678506409
128.0,-12.0,6943.879940366142
128.0,-11.0,6815.848853446462
128.0,-10.0,6879.357501708768
128.0,-9.0,6623.606914795766
128.0,-8.0,6624.122255807683
128.0,-7.0,6560.166517694695
128.0,-6.0,6623.872817394935
128.0,-5.0,6752.218424842692
128.0,-4.0,7327.289769577078
128.0,-3.0,8226.521888680425
128.0,-2.0,8290.709491571806
128.0,-1.0,8353.440229140215
