date,mean_2m_air_temperature,total_precipitation
1979-12-28,295.4573669,1.50E-04
1979-12-29,296.9264832,8.26E-05
1979-12-30,300.8721924,0
1979-12-31,300.2137451,1.28E-06
1980-01-01,303.2288208,0
1980-01-02,304.8155518,0.001260215
1980-01-03,305.4634094,0
1980-01-04,306.1257629,2.92E-06
1980-01-05,305.9390869,5.33E-05
1980-01-06,299.9900818,0.012978428
1980-01-07,292.9049988,0.020315615
1980-01-08,292.6697388,0.006781105
1980-01-09,295.2915955,4.27E-04
1980-01-10,297.7594604,0
1980-01-11,297.9806213,0
1980-01-12,299.2006531,1.72E-04
1980-01-13,301.4184875,9.31E-10
1980-01-14,301.2929077,0.001640051
1980-01-15,299.7641907,3.30E-04
1980-01-16,300.1102295,1.20E-04
1980-01-17,299.2051392,4.31E-04
1980-01-18,299.1535645,1.62E-04
1980-01-19,300.574646,4.27E-05
1980-01-20,301.6888733,0
1980-01-21,301.7344971,1.91E-05
1980-01-22,302.8919678,0.002518466
1980-01-23,297.2354126,0.011523524
1980-01-24,295.2988892,0.002494711
1980-01-25,295.155426,7.23E-04
1980-01-26,297.241394,2.04E-05
1980-01-27,296.2073669,1.86E-09
1980-01-28,299.2595825,4.28E-08
1980-01-29,301.289978,2.68E-06
1980-01-30,299.242157,4.28E-05
1980-01-31,299.8891296,2.05E-04
1980-02-01,300.6184998,5.72E-05
1980-02-02,299.8215027,7.23E-07
1980-02-03,299.1700745,7.80E-04
1980-02-04,299.3197632,0
1980-02-05,298.3310242,1.56E-04
1980-02-06,298.5551453,0
1980-02-07,300.8951721,0
1980-02-08,302.8436584,6.13E-06
1980-02-09,302.0715027,0.006843569
1980-02-10,299.2036743,8.61E-04
1980-02-11,301.5307922,0.001031324
1980-02-12,298.7515259,0.00850364
1980-02-13,300.1250305,2.30E-04
1980-02-14,301.4180603,2.85E-04
1980-02-15,303.0754089,2.27E-05
1980-02-16,303.5332642,2.39E-05
1980-02-17,301.2875977,9.65E-04
